experiment_id	new_signal	r2_before	r2_after	delta_r2	status	n_videos	notes
exp_title_patterns	14_title_patterns	0.3756	varies	mostly_negative	note	202	14 regex patterns tested. "indestructible" stands out massively
exp_pat_indestructible	pat_indestructible	0.3390	0.3745	+0.0355	keep	202	Title contains indestructible/bulletproof/invincible/unbreakable. CV +0.036 (10/10 seeds). 7 videos avg 61M views vs 5.6M rest
exp_llm_categories	concept_categories	0.3800	varies	mixed	note	195	LLM categorized videos into 10 concepts. INDESTRUCTIBLE avg 26.7M, SUPERHERO_BUILD avg 10.2M
exp_cat_superhero	cat_superhero	0.3800	0.4010	+0.0210	keep	195	SUPERHERO_BUILD category flag. CV +0.021, wins 10/10 seeds. 30 videos avg 10.2M
exp_model_v9	final_11feat	0.3390	0.4010	+0.0620	keep	195	BEST MODEL: 11 features, CV=0.401±0.019. From 0.339 baseline to 0.401 via concept categories
exp_v9_optimized	backward_elim_v9	0.4010	0.4053	+0.0043	keep	195	Dropped ret_mid and cognitive_load from v9. CV improved 0.401→0.405. 9 features optimal
exp_loop_b_signals	deriv_std/body_hold/pat_making	0.4053	varies	all_negative	discard	195	Tested signals from loop_b (deriv_std, body_hold, pat_making, pat_shoes). None improve v9
exp_final_summary	v9_optimized_9feat	0.1468	0.4053	+0.2585	final	195	FINAL: 9 features, 10-seed CV R²=0.405. From baseline 0.147→0.405 (+175% improvement). Ran 40+ experiments, tested 100+ features
exp_upload_day	upload_dow	0.4053	0.4073	+0.0020	discard	195	Upload day of week. Saturday avg 14M views but CV Δ < 0.01
exp_fft_features	fft_1/2/3/autocorr/entropy	0.4120	varies	all_negative	discard	195	Signal-processing features from retentionCurve FFT. All hurt — curve info already captured by max_cliff
exp_loocv	loocv_v9	n/a	0.4303	n/a	note	195	Leave-One-Out CV: R²=0.430, RMSE=0.537 (3.4x). Most precise generalization estimate
exp_prev_views	prev_views	0.4120	0.4458	+0.0338	keep	195	Previous video's log10 views. Channel momentum effect. CV +0.034, 10-seed. Algorithm gives bigger push after a hit
exp_momentum	rolling_3_views	0.4120	0.4203	+0.0083	discard	195	Rolling 3-video average. Less effective than single prev_views
exp_model_v10	final_10feat	0.1468	0.4458	+0.2990	final	195	CURRENT BEST: 10 features, CV=0.446±0.018, holdout=0.623, multiplier=2.9x
exp_prev_keep	prev_keep	0.4511	0.4667	+0.0156	keep	195	Previous video's keep rate. Audience priming effect. Weight=-0.029 (lower prev keep = MORE views — rebound effect?)
exp_model_v11	final_11feat	0.1468	0.4667	+0.3199	final	195	CURRENT BEST: 11 features, CV=0.467±0.019, multiplier=3.1x. +217% from baseline
exp_prev_views_sq	prev_views_sq	0.4667	0.4805	+0.0138	keep	195	Non-linear channel momentum (prev_views²). CV +0.014, 10/10 seeds. Accelerating returns from mega-hits
exp_model_v12	final_12feat	0.1468	0.4805	+0.3337	final	195	CURRENT BEST: 12 features, CV=0.481±0.018. From baseline 0.147→0.481 (+227%). Three dimensions: quality+concept+momentum
exp_indestructible_x_pk	indestructible_x_prev_keep	0.4805	0.5064	+0.0259	keep	195	Indestructible concept × previous keep rate interaction. CV +0.026, 10/10 seeds. RELEASE STRATEGY: indestructible after high-keep = super-viral
exp_model_v13	final_13feat	0.1468	0.5064	+0.3596	final	195	MILESTONE: CV R²>0.50! 13 features, CV=0.506±0.017, holdout=0.702, multiplier=2.6x. From 0.147→0.506 (+244%)
loop_b_45	discovery:view_acceleration	—	—	—	discovery	201	r=+0.37, r_partial=+0.34. Day3-7 avg / Day1 views. Algorithmic acceleration ratio. OUTLIER: 30.4x top10 vs 0.7x bottom10.
loop_b_46	discovery:late_early_ret_ratio	—	—	—	discovery	370	r=+0.55 (370), r_partial=+0.29 (203). Retention late/early area ratio. Videos holding late viewers massively outperform.
loop_b_47	discovery:hook_efficiency_inv	—	—	—	discovery	370	r_partial=-0.49 (370), -0.27 (203). Counter-intuitive: lower ret@3s/peak = MORE views. Big initial spike (replays) matters.
loop_b_48	discovery:curve_entropy	—	—	—	discovery	370	r_partial=+0.48 (370), +0.29 (203). Shannon entropy of retention curve. Information-rich curves outperform monotonic decay.
loop_b_49	discovery:curve_kurtosis	—	—	—	discovery	370	r_partial=+0.48 (370), +0.27 (203). Excess kurtosis of retention curve. Top10 avg=5.17 vs bottom10=2.10 (2.47x ratio).
loop_b_50	discovery:trajectory_decay_fit	—	—	—	discovery	201	r=-0.37, r_partial=-0.34. Viral videos DON'T follow exponential decay. Lower R² of log-linear fit = more views.
loop_b_51	discovery:narrative_momentum	—	—	—	discovery	202	r=+0.46, r_partial=+0.43. BEST NEW COMBO: derivStd × bodyHold × (1-decayR2). Three independent dimensions combined.
loop_b_52	discovery:momentum_x_cliff	—	—	—	discovery	202	r=+0.46, r_partial=+0.40. prev_views × maxCliff interaction. Channel momentum amplifies dramatic content.
loop_b_53	discovery:late_early_x_pacing	—	—	—	discovery	202	r=+0.42, r_partial=+0.38. lateEarlyRatio × derivStd. Late retention quality × dramatic pacing interaction.
loop_b_54	discovery:peak_to_trough	—	—	—	discovery	201	r=+0.23, r_partial=+0.20. Post-peak trough / peak daily views. Sustained viewership after spike.
loop_b_55	discovery:wm_per_view_day1	—	—	—	discovery	202	r=+0.31, r_partial=+0.22. Watch minutes per view on Day 1. Early engagement quality before algorithm kicks in.
loop_b_56	discovery:inflection_count_inv	—	—	—	discovery	370	r_partial=-0.23 (370), -0.12 (203). Fewer retention curve inflection points = smoother narrative = more views.
loop_b_57	discovery:outlier_profile	—	—	—	discovery	203	TOP vs BOTTOM: viewAccel 43x, kurtosis 2.5x, maxCliff 1.7x, subViewShare 0.09x, duration 1.6x. Acceleration is king differentiator.
exp_text_overlay	has_text_overlay	0.3293	0.3583	+0.0290	keep	203	No text overlay in first frame predicts more views. r=-0.05 but stable CV +0.029. Counter-intuitive: clean thumbnails may perform better
exp_dur_x_ret	duration_x_retention	0.3293	0.3475	+0.0181	keep	203	Duration × retention = total watch time proxy. r=+0.35, CV +0.018. Captures watch time volume
exp_eff_watch	effective_watch_sec	0.3293	0.3395	+0.0102	keep	203	Retention curve area × duration. r=+0.34, CV +0.010. Absolute watch seconds per viewer
exp_outcome_log_d7	log_d7_views	0.3293	0.4164	+0.0870	note_outcome	203	OUTCOME: log10 first-7-day views. r=+0.69, CV +0.087. Strongest outcome signal — early algorithmic push
exp_outcome_rpm	rpm	0.3293	0.3621	+0.0328	note_outcome	203	OUTCOME: revenue per mille. r=-0.01, CV +0.033. Lower RPM = broader (less monetizable) audience reach
exp_outcome_likes	likes_per_10k	0.3293	0.3702	+0.0409	note_outcome	203	OUTCOME: likes per 10k views. r=-0.29, CV +0.041. Inverse: viral videos dilute per-view engagement
exp_outcome_d7d3	d7_d3_ratio	0.3293	0.3612	+0.0318	note_outcome	203	OUTCOME: day7/day3 view ratio. r=+0.36, CV +0.032. Sustained growth trajectory signal
exp_fwd_pred_v14	pred_model_v14	0.3293	0.3840	+0.0547	keep	203	Forward selection: v13 + has_text_overlay + duration_x_retention. Predictive-only CV=0.384
exp_fwd_all_v14	all_signals_v14	0.3293	0.6613	+0.3319	note_outcome	203	All signals (13+6): CV=0.661, holdout=0.739. Massive gain from outcome variables but circular
loop_b_58	discovery:spike_decay_death	—	—	—	discovery	200	0/27 spike_decay videos hit 10M+. Day1 share >15% = DEATH. Median 0.3M. Anti-viral trajectory.
loop_b_59	discovery:delayed_peak_shape	—	—	—	discovery	200	r_partial=+0.36. Delayed peak (day 3+) shape: 31% hit 10M+, median 3.6M. Best trajectory category.
loop_b_60	discovery:day1_share_continuous	—	—	—	discovery	200	r=-0.52, r_partial=-0.50. Day1 views as fraction of 30-day total. STRONGEST trajectory signal after controlling for keep.
loop_b_61	discovery:trajectory_exp_fit	—	—	—	discovery	200	r_partial=-0.34. How well does exponential decay fit? Lower R² = more views. Viral = non-predictable trajectory.
loop_b_62	discovery:multivar_partial_corrs	—	—	—	discovery	202	Controlling for keep+maxCliff: viewAccel +0.32, narrativeMomentum +0.31, decayR2 -0.30, entropy +0.20. These 4 truly independent.
loop_b_63	discovery:replay_excess	—	—	—	discovery	202	r=+0.32, r_partial=+0.19. Hook replay intensity (peak retention above 1.0). Top videos have 1.4+ replay peaks.
loop_b_64	discovery:drop_below_70_point	—	—	—	discovery	202	r=+0.30, r_partial=+0.25. How far through video before 70% retention threshold. Threshold-based narrative quality signal.
loop_b_65	discovery:mid_section_stability	—	—	—	discovery	202	r=-0.26, r_partial=-0.19. Lower StdDev in middle 50% of curve = smoother narrative = more views.
loop_b_66	discovery:optimal_3signal_new	—	—	—	discovery	201	r=0.632. BEST 3 NEW SIGNALS: z(kurtosis)+z(viewAccel)-z(day1share). Explains 40% of view variance from new discoveries alone.
loop_b_67	discovery:keep_plus_day1share	—	—	—	discovery	201	r=0.622. keep + day1share = 39% view variance from just 2 signals. Day1share captures trajectory independently of quality.
loop_b_68	discovery:dramatic_moments_inv	—	—	—	discovery	370	r_partial=-0.27 (370). FEWER extreme derivative points = more views. Viral pacing is EVEN, not wildly variable.
loop_b_69	discovery:flat_middle_flag	—	—	—	discovery	370	r_partial=+0.20 (370). Flat middle section (low variance segments 3-7) predicts views. Consistent narrative holding.
loop_b_70	discovery:sub_view_tiers	—	—	—	discovery	203	subView<5%: 81% hit 10M+ (19.3M avg). subView<10%: 45% hit rate. Algorithm reach is THE differentiator (but outcome).
loop_b_71	discovery:golden_zone	—	—	—	discovery	203	keep>=75 AND maxCliff>=0.15: 91/203 videos (45%), 36% hit 10M+, avg 5.2M. Practical pre-screening formula.
loop_b_72	discovery:cliff_0.25_threshold	—	—	—	discovery	203	maxCliff>=0.25: 15 videos, 40% hit 10M+, avg 5.7M. Extreme dramatic moments are the power zone.
loop_b_73	discovery:tier_engagement_flip	—	—	—	discovery	203	Engaged%: 92.5% for 5-10M tier vs 56.5% for 100M+. Viral videos reach casual viewers. Swipe 43.5% vs 7.5%.
loop_b_74	discovery:sub_ret_gap_reversal	—	—	—	discovery	203	Sub vs nonSub retention gap REVERSES by tier: 100M+ subs watch 4.2pts more, 10-50M subs watch 1pt LESS. Mega-viral engages loyal fans differently.
loop_b_75	discovery:transition_count	—	—	—	discovery	202	r=+0.24, r_partial=+0.15. More narrative transition words (but, however, then) = more views. Narrative structure signal.
loop_b_76	discovery:cum_concavity	—	—	—	discovery	201	r=-0.21, r_partial=-0.18. Concave cumulative view curve = growing interest over time. Viral videos have growth-oriented trajectories.
loop_b_77	discovery:ideal_curve_shape	—	—	—	discovery	202	Ideal viral curve: 1.64x replay spike → 1.17 at 5% → 0.70 at 95%. Top-bottom gap GROWS toward tail (0.015 at 5% → 0.097 at 95%).
loop_b_78	discovery:upload_gap_sweetspot	—	—	—	discovery	160	4-7 days between uploads: 33% hit 10M+. 1-3 days: only 11%. Too-fast uploading hurts. Algorithm needs breathing room.
loop_b_79	discovery:post_hit_momentum	—	—	—	discovery	202	After 10M+ hit: 33% next video also hits (avg 4.1M). After sub-1M miss: 14% hit rate (avg 1.1M). 2.4x momentum effect.
loop_b_80	discovery:same_vz_type_boost	—	—	—	discovery	160	r_partial=+0.12. Using same visual Zeigarnik type as previous video slightly boosts views. Consistency of visual style helps.
loop_b_81	discovery:viral_coeff_proxy	—	—	—	discovery	201	r_partial=+0.18. shares/views × day7/day1 ratio. Proxy for organic viral spreading beyond algorithm.
exp_deep_curve_v2	66_deep_curve_features	0.4246	varies	all_negative	discard	202	66 deep retention curve features tested individually. All collinear with max_cliff — curve info fully captured
exp_smoothed_slope	smoothed_slope	0.3844	0.4010	+0.0166	keep	203	Slope of 5-pt moving avg retention curve. r=+0.33. Captures overall decay trend independently of max_cliff single-drop
exp_idea_length	idea_length	0.3844	0.3965	+0.0121	keep	203	Word count of AI-generated videoIdea. r=+0.02. Longer/richer video concepts predict slightly more views
exp_slope_idea_combo	smoothed_slope+idea_length	0.3844	0.4182	+0.0338	keep	203	Both signals together on v14 base. CV=0.418. Independent dimensions: curve quality + concept richness
exp_vision_v2	7_visual_attributes	0.4182	varies	all_negative	discard	203	GPT-4o-mini scored color_contrast, composition, scale, action, objects, brightness, person. r=+0.22 best but Δ<0.01 in regression
exp_sequence	15_sequence_features	0.4182	varies	all_negative	discard	203	Rolling windows, streaks, topic switching. All captured by prev_views. Combined hurts model (-0.12)
exp_ridge	ridge_alpha_0.1	0.4182	0.4264	+0.0082	note	203	Ridge regression α=0.1 best. Small boost from regularization. Suggests mild OLS overfitting
exp_nonlinear	RF/GBM/Tree/Poly	0.4127	varies	all_lower	discard	203	Non-linear models all underperform OLS at n=203. Best single: OLS=0.413. GBM overfits
exp_ols_gbm_blend	OLS0.7+GBM0.3	0.4127	0.4459	+0.0332	note	203	OLS+GBM blend captures non-linearity. Best blend w=0.7/0.3. But not compatible with linear model format
exp_gbm_importance	feature_importance	n/a	n/a	n/a	note	203	GBM importance: max_cliff(0.19), dur_x_ret(0.13), keep_sq(0.10), keep(0.10), smooth_slope(0.09)
exp_stakes_x_dur	stakes_x_duration	0.4127	0.4463	+0.0337	keep	203	LLM stakes score × duration/60. High-stakes longer content performs better. CV +0.034
exp_pat_making_v2	pat_making_v2	0.4127	0.4244	+0.0118	keep	203	Title contains making/build/creat/construct. 34 videos avg 19.7M vs 5.6M rest. CV +0.012
exp_stakes_raw	stakes	0.4463	0.4702	+0.0121	keep	203	LLM-scored stakes (1-10). Incremental on top of stakes_x_duration. High stakes = more views
exp_content_misc	shareability/emotional/concept/universality	0.4127	varies	marginal	discard	203	Other LLM content scores. Concept_simplicity marginal r=+0.11. Shareability near zero r=-0.01
exp_transcript_pacing	speech_pacing_std/gaps/density	0.4127	varies	all_negative	discard	203	Transcript pacing features (word density variation, pauses). All hurt model
exp_backward_v16	backward_elimination	0.4702	0.4843	+0.0141	keep	203	Dropped hook_word_density, pat_indestructible, keep, max_cliff, retention_per_sec. All captured by other features
